Date,NDX_actual,NDX_fair_PVM,NDX_mispricing,NDX_mispricing_pct,P_t,P_t_PVM,sample
2013-08-01,3073.81005859375,3202.953881356957,-129.14382276320703,-0.04032022550024794,26.779713794722085,27.262369314134922,train
2013-09-01,3218.199951171875,3307.397848156947,-89.19789698507202,-0.026969206935530177,27.06390063848127,28.78130241904538,train
2013-10-01,3377.72998046875,3228.9842978684637,148.74568260028627,0.04606578071577405,29.048536546778774,27.640930781928002,train
2013-11-01,3487.820068359375,2966.326807868786,521.4932604905889,0.17580438510929475,30.214744752852106,23.82109159890267,train
2013-12-01,3592.0,3034.3102759646204,557.6897240353796,0.1837945606462701,31.62749985962355,24.8097781017347,train
2014-01-01,3521.919921875,3536.9162155925856,-14.996293717585559,-0.004239934678541113,32.255264428099856,32.119197916164964,train
2014-02-01,3696.10009765625,3592.4629167166113,103.63718093963871,0.028848504032537026,32.2460221277409,32.92701598159158,train
2014-03-01,3595.739990234375,3577.2907660977116,18.44922413666336,0.005157317462563649,34.63257548850844,32.70636674206331,train
2014-04-01,3582.02001953125,3714.2064967073748,-132.18647717612475,-0.03558942597653292,34.051420657449405,34.69753810578864,train
2014-05-01,3736.820068359375,3523.3455395458627,213.47452881351228,0.060588587300758334,33.198203385658864,31.921838990274527,train
2014-06-01,3849.47998046875,3600.406311662836,249.07366880591417,0.0691793223445607,34.8245566472286,33.04253711621398,train
2014-07-01,3892.5,3728.5856268573293,163.91437314267068,0.04396154186777457,35.7724847623828,34.90665441450188,train
2014-08-01,4082.56005859375,3776.0380322555707,306.52202633817933,0.08117556648524604,35.92311574085107,35.59675678877351,train
2014-09-01,4049.449951171875,3799.2590429104243,250.19090826145066,0.06585255320463523,37.35873255682248,35.93446094626381,train
2014-10-01,4158.2099609375,3844.449714780366,313.76024615713413,0.08161382497756486,36.61074760937358,36.591670832478194,train
2014-11-01,4337.7900390625,4393.798890881716,-56.008851819216034,-0.012747249751336787,37.97302000953996,44.580879546980086,train
2014-12-01,4236.27978515625,3975.696472356354,260.5833127998958,0.0655440662062039,38.4561664948099,38.50039807735669,train
2015-01-01,4148.43017578125,3998.2844193868727,150.14575639437726,0.037552545203225485,38.03807091003111,38.82889556330838,train
2015-02-01,4440.669921875,4365.707692523827,74.96222935117294,0.017170693649404045,36.36076940260357,44.17234804008975,train
2015-03-01,4333.68994140625,3926.362759886575,407.3271815196749,0.1037416067820085,39.87600382935537,37.78293577336377,train
2015-04-01,4414.25,4165.377495457524,248.87250454247624,0.05974788715161572,38.54136213497454,41.25893736104158,train
2015-05-01,4508.25,4082.0413865519504,426.2086134480496,0.10441065464259358,40.53029711956174,40.04697674206678,train
2015-06-01,4396.759765625,4203.096563521964,193.66320210303638,0.04607631520622446,40.26785125059052,41.8074873915011,train
2015-07-01,4588.91015625,4140.114253451684,448.7959027983161,0.1084018158252873,39.43486074525706,40.89153294510706,train
2015-08-01,4274.580078125,4176.66485260119,97.91522552380957,0.023443400171988538,41.42620799299955,41.423089881840546,train
2015-09-01,4181.06005859375,4226.314857381668,-45.254798787917935,-0.010707862597808093,38.338615616188704,42.1451520385226,train
2015-10-01,4648.830078125,4035.4392200283673,613.3908580966327,0.15200101516888176,39.37488554868878,39.36923942834741,train
2015-11-01,4664.509765625,3757.6811435992804,906.8286220257196,0.24132665528856379,44.44262345435739,35.32979176688201,train
2015-12-01,4593.27001953125,4436.3828575276075,156.88716200364252,0.03536375624962984,44.714744576980834,45.20018000691679,train
2016-01-01,4279.169921875,4431.808352269818,-152.638430394818,-0.03444156837617807,43.77655928024724,45.133652780045466,train
2016-02-01,4201.1201171875,4052.463324324054,148.65679286344584,0.03668306927570808,42.22299576060798,39.61682170991362,train
2016-03-01,4483.66015625,4209.784866239917,273.8752900100826,0.06505683751357627,43.151900963732544,41.90475566582294,train
2016-04-01,4341.2998046875,4247.360671148539,93.93913353896096,0.022117060643582764,45.30531306339412,42.45122221404072,train
2016-05-01,4523.89013671875,4732.461592153093,-208.57145543434308,-0.044072508856738746,43.56257014983028,49.50606578913595,train
2016-06-01,4417.7001953125,4285.3993613774,132.30083393509994,0.030872463165854347,44.66413732928012,43.0044205233954,train
2016-07-01,4730.22998046875,4375.947908387121,354.28207208162894,0.08096121788895094,43.85866617430157,44.32127194017459,train
2016-08-01,4771.0498046875,4406.771042262997,364.27876242450293,0.08266341929973198,47.55693900256472,44.769534102897815,train
2016-09-01,4875.7001953125,4561.181003794449,314.51919151805123,0.06895564794653031,48.33616678920738,47.015124819949115,train
2016-10-01,4801.27001953125,4620.802644704845,180.46737482640492,0.039055417143428306,49.14762096557797,47.88220491009265,train
2016-11-01,4810.81005859375,4769.525106714509,41.28495187924091,0.00865598795593292,48.8382054693496,50.045082076783046,train
2016-12-01,4863.6201171875,4621.048061484484,242.5720557030163,0.052492865790513266,47.97469636841733,47.885774016882785,train
2017-01-01,5116.77001953125,4594.3729898797355,522.3970296515145,0.11370366115294206,49.44862082995036,47.49783730231984,train
2017-02-01,5330.31005859375,4754.980852642051,575.3292059516989,0.12099506260514681,52.7439143895602,49.83356436375716,train
2017-03-01,5436.22998046875,4958.883705196042,477.3462752727082,0.09626083281052411,55.81178434255744,52.79893232534593,train
2017-04-01,5583.52978515625,5212.818210741732,370.7115744145176,0.07111538508107085,56.59417070367006,56.49191276998043,train
2017-05-01,5788.7998046875,5744.598093411582,44.20171127591766,0.007694482809269543,59.406374809559146,64.22561049384659,train
2017-06-01,5646.919921875,5484.183031742532,162.73689013246803,0.029673861939060853,61.373645860232216,60.438383042557774,train
2017-07-01,5880.330078125,5799.129728777982,81.20034934701835,0.014002161211201125,59.5118196733108,65.01866641426705,train
2017-08-01,5988.60009765625,5500.24717729669,488.3529203595599,0.08878744983958708,63.27028040149632,60.67200460282499,train
2017-09-01,5979.2998046875,5730.259083801079,249.0407208864208,0.043460638907311555,63.34571368428839,64.01707765986556,train
2017-10-01,6248.56005859375,5726.101433211921,522.4586253818288,0.09124159456057135,63.75682949619133,63.95661276838345,train
2017-11-01,6365.56005859375,5794.776008396193,570.784050197557,0.09849976071042854,67.68111727518193,64.95535007135098,train
2017-12-01,6396.419921875,6049.176563649397,347.2433582256026,0.05740340930239185,67.04720656536207,68.65510829694273,train
2018-01-01,6949.990234375,5976.522987095765,973.4672472792354,0.16288187117845965,67.75410172606215,67.59850420578645,train
2018-02-01,6854.419921875,6067.128604580299,787.291317294701,0.12976341340454622,73.21972671727171,68.91618560093744,train
2018-03-01,6581.1298828125,6480.890087064282,100.23979574821806,0.015466979751484145,71.80487471117692,74.93353665085763,train
2018-04-01,6605.56982421875,6295.743905875868,309.8259183428818,0.049211963347765675,70.32462152563222,72.24094776830997,train
2018-05-01,6967.72998046875,5647.093711289013,1320.6362691797367,0.23386122786304653,72.17554746468026,62.8076000676108,train
2018-06-01,7040.7998046875,6342.238548503848,698.5612561836524,0.11014427332577159,76.4216311302255,72.91712135738726,train
2018-07-01,7231.97998046875,7299.914609722697,-67.9346292539467,-0.00930622245409074,75.0585248272459,86.84464553837905,train
2018-08-01,7654.5498046875,6626.859124880201,1027.6906798072987,0.15507960263541554,76.99159694131181,77.05637065097862,train
2018-09-01,7627.64990234375,6753.50499263411,874.1449097096402,0.12943573902189298,79.24158581064529,78.89818695713163,train
2018-10-01,6967.10009765625,6866.852422472491,100.24767518375938,0.01459878107408974,79.00320800700608,80.5466035082545,train
2018-11-01,6949.009765625,6821.788916619756,127.22084900524442,0.018649191665151,73.9317361872737,79.89124300290216,train
2018-12-01,6329.97021484375,6559.244292141354,-229.27407729760398,-0.034954343379510644,72.64344749919003,76.07304522801098,train
2019-01-01,6906.83984375,6347.748518245731,559.0913255042688,0.08807710700845162,66.59789648777296,72.99725308451735,train
2019-02-01,7097.52978515625,6026.480529854154,1071.0492553020958,0.1777238389796998,72.20323630998364,68.3250389005191,train
2019-03-01,7378.77001953125,6294.010442599728,1084.7595769315221,0.17234791502561664,74.82499875660453,72.215737937269,train
2019-04-01,7781.4599609375,6580.987753538638,1200.4722073988623,0.18241520154073543,78.94191817037698,76.38926132304807,train
2019-05-01,7127.9599609375,6867.135511260442,260.8244496770576,0.03798154983972113,82.93319602260567,80.5507204806831,train
2019-06-01,7671.080078125,7047.852305910648,623.2277722143517,0.08842804093548962,77.32449483583453,83.17889260414489,train
2019-07-01,7848.77978515625,5907.330451795669,1941.4493333605806,0.3286508769406038,85.0925551702996,66.59223418655917,train
2019-08-01,7691.0,7206.421070504734,484.5789294952656,0.06724266105939969,86.7198940559345,85.48496497314969,train
2019-09-01,7749.4501953125,7292.432723028047,457.0174722844531,0.06267009784557676,87.22599398789283,86.7358361381247,train
2019-10-01,8083.830078125,7354.154057790968,729.6760203340318,0.09921957231246958,87.0659806968785,87.63345216634578,train
2019-11-01,8403.6796875,7443.910728730707,959.768958769293,0.12893343213600672,92.25488508110789,88.93878729535332,train
2019-12-01,8733.0703125,7735.451313096169,997.6189994038314,0.12896713572676188,94.6774116743262,93.17867456299857,train
2020-01-01,8991.509765625,7835.679044733826,1155.8307208911738,0.1475086861384376,98.86804268653152,94.6362907784575,train
2020-02-01,8461.830078125,8113.743073046956,348.08700507804406,0.04290091539062346,100.3892543598884,98.68018791134207,train
2020-03-01,7813.5,8252.425054991392,-438.92505499139224,-0.053187402741199485,94.2978213260404,100.69704594425643,train
